Rank,Brand,Product Category,Points,,
408,Siam Commercial Bank,Financial Services,4.9,,
408,Society for Community Organization (SoCO),"Non-profit, public sector & education",4.9,,
408,LINE TV,Media & Publishing,4.9,,
408,NTT DOCOMO,Telecoms & Utilities,4.9,,
408,WeChat,Media & Publishing,4.9,,
420,TV 2 Sumo,Media & Publishing,4.7,,
420,Intermarché,Retail,4.7,,
422,Jive,Soft Drinks,4.6,,
423,Allbirds,Clothing & Accessories,4.5,,
423,Sipsmith,Alcoholic Drinks,4.5,,
423,emart,Retail,4.5,,
423,Aviation American Gin,Alcoholic Drinks,4.5,,
423,Wealthsimple,Financial Services,4.5,,
423,Renault,Automotive,4.5,,
429,Ministério Público Federal / Brazilian Association of Advertising Agencies,"Non-profit, public sector & education",4.4,,
430,Cerveza Quilmes,Alcoholic Drinks,4.3,,
431,Cadillac,Automotive,4.2,,
431,#RubbishRubbish,"Non-profit, public sector & education",4.2,,
431,Mastercard,Financial Services,4.2,,
431,Nestea,Soft Drinks,4.2,,
431,Medella,Alcoholic Drinks,4.2,,
431,FSPM,Business & Industrial,4.2,,
431,Universal Music,Media & Publishing,4.2,,
431,Itaú Unibanco,Financial Services,4.2,,
431,La casa de papel,Media & Publishing,4.2,,
431,Son de Miel,Food,4.2,,
431,BBVA,Financial Services,4.2,,
431,MultiCbrina,Food,4.2,,
431,Shoot Peru,Media & Publishing,4.2,,
431,Skip,Household & Domestic,4.2,,
431,Stem Events,Business & Industrial,4.2,,
431,Cabify,Transport & Tourism,4.2,,
431,Reinserta,"Non-profit, public sector & education",4.2,,
431,Bialcohol,Household & Domestic,4.2,,
431,GOL Airlines,Transport & Tourism,4.2,,
431,The Passage,Media & Publishing,4.2,,
431,Shell / Prati-Donaduzzi,Automotive,4.2,,
431,Kiss FM,Media & Publishing,4.2,,
431,Poen,Pharma & Healthcare,4.2,,
431,Cinemark,Media & Publishing,4.2,,
431,Tuby,Media & Publishing,4.2,,
431,Google Assistant,Technology & Electronics,4.2,,
431,The Times / The Sunday Times,Media & Publishing,4.2,,
458,Gynaguard,Toiletries & Cosmetics,4.1,,
458,Isolezwe,Media & Publishing,4.1,,
458,HeyLu,Technology & Electronics,4.1,,
458,Nedbank,Financial Services,4.1,,
458,Vodacom,Telecoms & Utilities,4.1,,
458,INFINITI,Automotive,4.1,,
458,Investec,Financial Services,4.1,,
458,Brand South Africa,"Non-profit, public sector & education",4.1,,
458,Cell C,Telecoms & Utilities,4.1,,
467,Theatre Hours,Leisure & Entertainment,4.0,,
467,Post Bellum,"Non-profit, public sector & education",4.0,,
467,Vodafone,Telecoms & Utilities,4.0,,
467,Vienna Tourist Board,Transport & Tourism,4.0,,
467,Tyskie,Alcoholic Drinks,4.0,,
467,G2A,Retail,4.0,,
473,Tohum Otizm Vakfı,"Non-profit, public sector & education",3.7,,
473,The Hong Kong Stroke Recognition,"Non-profit, public sector & education",3.7,,
473,National Center for Missing and Exploited Children,"Non-profit, public sector & education",3.7,,
476,Adobe,Technology & Electronics,3.6,,
476,NHK Educational TV,Media & Publishing,3.6,,
476,Paddy Power,Leisure & Entertainment,3.6,,
476,Tulipán,Pharma & Healthcare,3.6,,
476,Mika+Rika,Media & Publishing,3.6,,
476,Museu Nacional de Belas Artes,Leisure & Entertainment,3.6,,
476,American Express,Financial Services,3.6,,
476,TurboTax,Financial Services,3.6,,
476,Grupo Planeta / Google,Media & Publishing,3.6,,
476,Hawke's Bay Regional Council,"Non-profit, public sector & education",3.6,,
476,Leica,Technology & Electronics,3.6,,
476,Honda,Automotive,3.6,,
476,Björn Borg,Clothing & Accessories,3.6,,
476,Massira,Technology & Electronics,3.6,,
476,Thai Life Insurance,Financial Services,3.6,,
476,Bite Back,"Non-profit, public sector & education",3.6,,
476,Fondation Émergence,"Non-profit, public sector & education",3.6,,
