,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
The top Brands in 2018,,,,,
,,,,,
Rank,Brand,Product Category,Points,,
464,Sky Television New Zealand,Media & Publishing,17.0,,
464,Secret Deodorant,Toiletries & Cosmetics,17.0,,
467,Holland Casino,Leisure & Entertainment,16.9,,
468,Oxfam Intermon,"Non-profit, public sector & education",16.8,,
469,East Japan Railway Company,Transport & Tourism,16.7,,
469,Seub Nakhasathien Foundation,"Non-profit, public sector & education",16.7,,
469,BandSports,Media & Publishing,16.7,,
469,Forte Security Doors,Business & Industrial,16.7,,
469,Amman Tea Blend,Soft Drinks,16.7,,
469,City Of Buenos Aires,"Non-profit, public sector & education",16.7,,
469,Youth Ambassadors,"Non-profit, public sector & education",16.7,,
469,Hellman's,Food,16.7,,
469,Fundación Repro,Pharma & Healthcare,16.7,,
469,Freddo,Food,16.7,,
469,Mapfre,Financial Services,16.7,,
480,The Women's Foundation,"Non-profit, public sector & education",16.5,,
480,Hungarian Interchurch Aid,"Non-profit, public sector & education",16.5,,
480,The British Army,"Non-profit, public sector & education",16.5,,
480,Wickes,Retail,16.5,,
480,NestAway,Business & Industrial,16.5,,
480,Yasmin,Pharma & Healthcare,16.5,,
480,Pronto Café,Soft Drinks,16.5,,
480,Breeze,Household & Domestic,16.5,,
480,The Great British Bake Off,Media & Publishing,16.5,,
489,IGNITE National,"Non-profit, public sector & education",16.4,,
489,Indian Association Of Palliative Care,"Non-profit, public sector & education",16.4,,
489,MTV,Media & Publishing,16.4,,
489,Western Cape Government Safely Home,"Non-profit, public sector & education",16.4,,
489,Lucozade,Soft Drinks,16.4,,
489,MoneySuperMarket.com,Financial Services,16.4,,
489,Bose,Technology & Electronics,16.4,,
489,Camelot Euromillions,Leisure & Entertainment,16.4,,
489,BUPA,Pharma & Healthcare,16.4,,
489,Barclays Bank,Financial Services,16.4,,
489,Yorkshire Tea,Soft Drinks,16.4,,
489,Otto,Retail,16.4,,
489,BBC,Media & Publishing,16.4,,
489,Argos,Retail,16.4,,
489,Museum Of Contemporary Art Belgrade,Leisure & Entertainment,16.4,,
504,Commission For Gender Equality,"Non-profit, public sector & education",16.3,,
504,Comic Relief,"Non-profit, public sector & education",16.3,,
504,Flight Centre Student Flights,Transport & Tourism,16.3,,
504,Surf Shack,Leisure & Entertainment,16.3,,
504,Sport England,"Non-profit, public sector & education",16.3,,
504,Toblerone,Food,16.3,,
504,Archer+Wolf,Household & Domestic,16.3,,
504,Ferrero,Food,16.3,,
504,Johannesburg Zoo,Leisure & Entertainment,16.3,,
513,Salon Erótico De Barcelona,Retail,16.1,,
514,Leica Gallery São Paulo,Leisure & Entertainment,16.0,,
515,Chick-Fil-A,Retail,15.9,,
516,Freedom Brewery,Alcoholic Drinks,15.8,,
516,EITB,Media & Publishing,15.8,,
518,Kobe Shimbun Disaster Prevention,Media & Publishing,15.7,,
518,Taco Bell,Retail,15.7,,
518,Jamba Juice,Retail,15.7,,
518,Ronald McDonald House Charities,"Non-profit, public sector & education",15.7,,
518,Hennessy,Alcoholic Drinks,15.7,,
523,Presidencia De La Nacion,"Non-profit, public sector & education",15.6,,
524,Global2000,"Non-profit, public sector & education",15.5,,
524,Testicular Cancer New Zealand,"Non-profit, public sector & education",15.5,,
524,Sprint,Telecoms & Utilities,15.5,,
527,Play-Doh,Leisure & Entertainment,15.4,,
528,Baijiu,Alcoholic Drinks,15.3,,
528,Mirinda,Soft Drinks,15.3,,
