Rank,Brand,Product Category,Points,,
429,Ninho,Soft Drinks,6.0,,
429,Faber-Castell,Household & Domestic,6.0,,
429,Magazine Luiza,Media & Publishing,6.0,,
429,MR Group,Business & Industrial,6.0,,
429,Tinkoff,Financial Services,6.0,,
429,Agusha,Food,6.0,,
429,LADA,Automotive,6.0,,
429,Подарок Ангел,"Non-profit, public sector & education",6.0,,
429,Kotex,Toiletries & Cosmetics,6.0,,
429,Perrier,Soft Drinks,6.0,,
429,Enfance et Partage,"Non-profit, public sector & education",6.0,,
429,Zeiss,Technology & Electronics,6.0,,
429,Ministère du travail,"Non-profit, public sector & education",6.0,,
429,Direct Assurance,Financial Services,6.0,,
429,iloom,Retail,6.0,,
429,LG Pra.L,Toiletries & Cosmetics,6.0,,
429,Instituto de Liderazgo Simone de Beauvoir,"Non-profit, public sector & education",6.0,,
429,Mazda,Automotive,6.0,,
429,Larousse,Media & Publishing,6.0,,
429,Lifetime,Media & Publishing,6.0,,
429,Banco Sabadell,Financial Services,6.0,,
429,Fundación Cinépolis,"Non-profit, public sector & education",6.0,,
429,Cambiando Modelos,"Non-profit, public sector & education",6.0,,
429,Fare x Bene Onlus,"Non-profit, public sector & education",6.0,,
429,True Match,Toiletries & Cosmetics,6.0,,
429,Dash,Household & Domestic,6.0,,
429,Fundación Unoentrecienmil,"Non-profit, public sector & education",6.0,,
429,International Committee of the Red Cross,"Non-profit, public sector & education",6.0,,
429,Campofrío,Food,6.0,,
429,Ladrón de Manzanas,Alcoholic Drinks,6.0,,
429,Tanqueray,Alcoholic Drinks,6.0,,
429,Yoigo,Telecoms & Utilities,6.0,,
429,Estrella Damm,Alcoholic Drinks,6.0,,
429,Adolfo Dominguez,Clothing & Accessories,6.0,,
429,Turespaña,Transport & Tourism,6.0,,
429,Banco CTT,Financial Services,6.0,,
429,Kia,Automotive,6.0,,
429,Bar Ogilvy,Business & Industrial,6.0,,
429,YoPRO,Food,6.0,,
429,TRESemmé,Toiletries & Cosmetics,6.0,,
429,Hong Kong Tourism Board,Transport & Tourism,6.0,,
429,Żabka,Retail,6.0,,
429,Corega,Toiletries & Cosmetics,6.0,,
429,Amundsen Vodka,Alcoholic Drinks,6.0,,
429,TIGER,Soft Drinks,6.0,,
429,G'spritzter,Alcoholic Drinks,6.0,,
429,DEBRA Austria,"Non-profit, public sector & education",6.0,,
429,Ja! Natürlich!,Food,6.0,,
429,sahibinden.com,Retail,6.0,,
429,Turkcell,Telecoms & Utilities,6.0,,
429,Askıda Ne Var,"Non-profit, public sector & education",6.0,,
429,Opet,Business & Industrial,6.0,,
429,Türk Telekom,Telecoms & Utilities,6.0,,
429,Cif,Household & Domestic,6.0,,
429,Eti,Food,6.0,,
