Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
167,Cheil Worldwide,Amsterdam,Creative Agency,Netherlands,X,Technology & Electronics,19.0
167,Alma DDB,Miami,Creative Agency,USA,,"Household & Domestic, Non-profit, public sector & education, Pharma & Healthcare",19.0
169,Dhélet Y&R,Buenos Aires,Creative Agency,Argentina,,"Financial Services, Telecoms & Utilities",18.8
170,Barton F. Graf,New York,Creative Agency,USA,X,"Food, Non-profit, public sector & education",18.4
171,Kolle Rebbe,Hamburg,Creative Agency,Germany,,"Non-profit, public sector & education",18.3
171,Ogilvy,Nairobi,Creative Agency,Kenya,,"Non-profit, public sector & education, Telecoms & Utilities",18.3
173,BBDO,São Paulo,Creative Agency,Brazil,,"Automotive, Media & Publishing, Non-profit, public sector & education, Technology & Electronics",18.2
174,J. Walter Thompson,Paris,Creative Agency,France,,"Media & Publishing, Non-profit, public sector & education",18.1
174,Clemenger BBDO,Melbourne,Creative Agency,Australia,,Transport & Tourism,18.1
176,DDB,Sydney,Creative Agency,Australia,,"Financial Services, Toiletries & Cosmetics",17.9
177,Heimat Werbeagentur,Berlin,Creative Agency,Germany,,"Household & Domestic, Non-profit, public sector & education",17.5
178,Cheil Worldwide,Seoul,Creative Agency,South Korea,X,"Non-profit, public sector & education, Technology & Electronics",17.3
179,TBWA\Chiat\Day,New York,Creative Agency,USA,,"Household & Domestic, Media & Publishing, Non-profit, public sector & education",17.0
180,Rosapark,Paris,Creative Agency,France,,"Automotive, Retail, Transport & Tourism",16.8
180,Wieden+Kennedy,New York,Creative Agency,USA,X,"Alcoholic Drinks, Media & Publishing",16.8
182,Now,London,Creative Agency,UK,X,"Non-profit, public sector & education",16.7
182,Happiness Brussels,Brussels,Creative Agency,Belgium,,"Non-profit, public sector & education",16.7
182,M&C Saatchi Abel,Cape Town,Creative Agency,South Africa,X,"Non-profit, public sector & education, Retail",16.7
185,ACNE,Stockholm,Creative Agency,Sweden,X,Retail,16.6
186,FP7/DXB,Dubai,Creative Agency,United Arab Emirates,,"Household & Domestic, Retail",16.1
187,Leo Burnett,Buenos Aires,Creative Agency,Argentina,,"Alcoholic Drinks, Automotive, Technology & Electronics",15.9
187,mcgarrybowen,New York,Creative Agency,USA,,Transport & Tourism,15.9
189,mcgarrybowen,Shanghai,Creative Agency,China (Mainland),,"Non-profit, public sector & education, Technology & Electronics",15.7
190,Memac Ogilvy,Dubai,Creative Agency,United Arab Emirates,,"Non-profit, public sector & education, Soft Drinks",14.9
190,Amber,Shanghai,Creative Agency,China (Mainland),X,Household & Domestic,14.9
190,Ogilvy,Melbourne,Creative Agency,Australia,,Financial Services,14.9
190,The Cyranos//McCann,Barcelona,Creative Agency,Spain,,Media & Publishing,14.9
194,Sid Lee,Paris,Creative Agency,France,,Automotive,14.8
195,DDB Mudra,Mumbai,Creative Agency,India,,Toiletries & Cosmetics,14.7
195,Y&R,Madrid,Creative Agency,Spain,,"Automotive, Media & Publishing, Non-profit, public sector & education",14.7
197,J. Walter Thompson,Buenos Aires,Creative Agency,Argentina,,"Media & Publishing, Toiletries & Cosmetics",14.6
198,Droga5,London,Creative Agency,UK,X,"Leisure & Entertainment, Media & Publishing",14.2
199,Leo Burnett,Melbourne,Creative Agency,Australia,,"Automotive, Food",14.1
200,Good People Content,Cairo,Creative Agency,Egypt,X,Telecoms & Utilities,14.0
201,Excell Ogilvy,Tegiucigalpa,Creative Agency,Honduras,,"Non-profit, public sector & education",13.6
202,J. Walter Thompson,Casablanca,Creative Agency,Morocco,,Food,13.5
203,TKT,Sydney,Creative Agency,Australia,,Soft Drinks,13.4
204,ADK,Taipei,Creative Agency,Taiwan,,Retail,12.8
205,J. Walter Thompson,Sydney,Creative Agency,Australia,,"Media & Publishing, Non-profit, public sector & education, Telecoms & Utilities",12.7
206,Hakuhodo,Selangor,Creative Agency,Malaysia,,"Non-profit, public sector & education",12.5
207,GSD&M,Austin,Creative Agency,USA,,Toiletries & Cosmetics,12.3
208,BMB,London,Creative Agency,UK,X,"Non-profit, public sector & education",12.1
208,Wunderman,Antwerp,Creative Agency,Belgium,,Technology & Electronics,12.1
208,thjnk,Zurich,Creative Agency,Switzerland,,"Non-profit, public sector & education",12.1
208,FCB,Chicago,Creative Agency,USA,,"Non-profit, public sector & education, Retail",12.1
208,R/GA,Sydney,Creative Agency,Australia,,Technology & Electronics,12.1
213,Johannes Leonardo,New York,Creative Agency,USA,,Clothing & Accessories,12.0
213,Contrapunto BBDO,Madrid,Creative Agency,Spain,,"Automotive, Leisure & Entertainment",12.0
215,CP+B,Boulder,Creative Agency,USA,,"Clothing & Accessories, Food",11.9
215,Philipp und Keuntje,Hamburg,Creative Agency,Germany,X,Transport & Tourism,11.9
215,VCCP,Madrid,Creative Agency,Spain,,Financial Services,11.9
218,WP Narrative_,New York,Creative Agency,USA,X,Media & Publishing,11.8
219,Carne,Lima,Creative Agency,Peru,,Leisure & Entertainment,11.7
220,PS21,Madrid,Creative Agency,Spain,X,Alcoholic Drinks,11.6
221,MullenLowe,Boston,Creative Agency,USA,,"Leisure & Entertainment, Retail",11.5
221,Leo Burnett,Bucharest,Creative Agency,Romania,,Telecoms & Utilities,11.5
223,Fred & Farid,Paris,Creative Agency,France,X,Media & Publishing,11.4
224,Adell Taivas Ogilvy,Vilnius,Creative Agency,Lithuania,,Telecoms & Utilities,11.1
225,BBDO,Düsseldorf,Creative Agency,Germany,,"Non-profit, public sector & education",10.9
225,Proximity,Barcelona,Creative Agency,Spain,,Automotive,10.9
227,WCRS,London,Creative Agency,UK,X,"Non-profit, public sector & education",10.8
227,King James II,Johannesburg,Creative Agency,South Africa,X,"Business & Industrial, Financial Services",10.8
227,Taproot Dentsu,Mumbai,Creative Agency,India,,Technology & Electronics,10.8
227,McCann,Bangkok,Creative Agency,Thailand,,Pharma & Healthcare,10.8
231,J. Walter Thompson,San Juan,Creative Agency,Puerto Rico,,"Non-profit, public sector & education",10.7
232,Leo Burnett,Bnei Brak,Creative Agency,Israel,,"Non-profit, public sector & education",10.6
232,J. Walter Thompson,Cairo,Creative Agency,Egypt,,"Food, Transport & Tourism",10.6
234,Publicis,Bucharest,Creative Agency,Romania,,"Automotive, Business & Industrial",10.4
234,Rabbit's Tale,Bangkok,Creative Agency,Thailand,X,Financial Services,10.4
234,BBDO,Warsaw,Creative Agency,Poland,,Transport & Tourism,10.4
237,FCB,San Francisco,Creative Agency,USA,,Clothing & Accessories,10.3
237,Leo Burnett,Moscow,Creative Agency,Russia,,"Financial Services, Leisure & Entertainment",10.3
239,DUDE,Milan,Creative Agency,Italy,X,Media & Publishing,10.1
239,J. Walter Thompson,Beirut,Creative Agency,Lebanon,,Retail,10.1
241,Cossette,Montreal,Creative Agency,Canada,,Transport & Tourism,10.0
241,Forsman & Bodenfors,Gothenburg,Creative Agency,Sweden,,"Automotive, Transport & Tourism",10.0
241,Havas Worldwide,New York,Creative Agency,USA,,Business & Industrial,10.0
241,Marketforce,Perth,Creative Agency,Australia,,"Non-profit, public sector & education",10.0
241,Saatchi & Saatchi,Torrance,Creative Agency,USA,,Automotive,10.0
241,Touché!,Montreal,Creative Agency,Canada,,Transport & Tourism,10.0
247,VML,New York,Creative Agency,USA,,"Non-profit, public sector & education",9.8
247,Forsman & Bodenfors,New York,Creative Agency,USA,,Business & Industrial,9.8
247,TRY,Oslo,Creative Agency,Norway,X,"Financial Services, Non-profit, public sector & education, Transport & Tourism",9.8
250,Ogilvy,Auckland,Creative Agency,New Zealand,,"Non-profit, public sector & education",9.7
250,Grey,London,Creative Agency,UK,,"Non-profit, public sector & education",9.7
250,Marcel,Sydney,Creative Agency,Australia,,Alcoholic Drinks,9.7
250,No Fixed Address,Toronto,Creative Agency,Canada,X,"Non-profit, public sector & education",9.7
250,Saatchi & Saatchi,Sydney,Creative Agency,Australia,,Financial Services,9.7
250,Voskhod,Ekaterinburg,Creative Agency,Russia,X,Financial Services,9.7
250,Y&R,London,Creative Agency,UK,,"Non-profit, public sector & education",9.7
250,Deutsch,Los Angeles,Creative Agency,USA,,Retail,9.7
258,Arnold Worldwide,Boston,Creative Agency,USA,,Automotive,9.6
258,Propeg,Salvador,Creative Agency,Brazil,X,"Non-profit, public sector & education",9.6
258,TBWA\Paris,Paris,Creative Agency,France,,"Household & Domestic, Non-profit, public sector & education",9.6
261,FIG,New York,Creative Agency,USA,X,"Media & Publishing, Transport & Tourism",9.5
261,Flying Object,London,Creative Agency,UK,X,Media & Publishing,9.5
263,La Comunidad,Buenos Aires,Creative Agency,Argentina,,Leisure & Entertainment,9.4
263,VCCP,London,Creative Agency,UK,,Food,9.4
265,JohnXHannes,New York,Creative Agency,USA,X,Media & Publishing,9.3
