Rank,Agency Name,City,Agency Type,Agency Location,Product Category,Points
210,ADK,Tokyo,Creative Agency,Japan,"Clothing & Accessories, Retail, Soft Drinks",12.7
211,MRM Meteorite,London,Digital/Specialist Agency,UK,Technology & Electronics,12.4
211,MullenLowe,Istanbul,Creative Agency,Turkey,"Non-profit, public sector & education",12.4
211,FoxP2,Cape Town,Creative Agency,South Africa,"Business & Industrial, Media & Publishing",12.4
214,McCann,Taguig,Creative Agency,Philippines,Retail,12.3
214,Wieden+Kennedy,Shanghai,Creative Agency,China (Mainland),Clothing & Accessories,12.3
216,CHERRY,Tokyo,Creative Agency,Japan,"Clothing & Accessories, Non-profit, public sector & education, Soft Drinks",12.1
216,Hakuhodo,Jakarta,Creative Agency,Indonesia,"Non-profit, public sector & education",12.1
216,Saatchi & Saatchi,Auckland,Creative Agency,New Zealand,"Non-profit, public sector & education",12.1
219,HOY,Buenos Aires,Creative Agency,Argentina,Media & Publishing,12
220,BMF,Sydney,Creative Agency,Australia,"Non-profit, public sector & education",11.8
220,Ogilvy,Singapore,Creative Agency,Singapore,"Non-profit, public sector & education, Toiletries & Cosmetics",11.8
222,Big Family Table,Los Angeles,Creative Agency,USA,Media & Publishing,11.7
223,Grey,Toronto,Creative Agency,Canada,Toiletries & Cosmetics,11.6
224,McCann,Frankfurt,Creative Agency,Germany,"Non-profit, public sector & education",11.4
224,FCB,Auckland,Creative Agency,New Zealand,"Non-profit, public sector & education",11.4
226,J. Walter Thompson,Casablanca,Creative Agency,Morocco,Food,11.2
227,Wunderman Thompson,Lima,Creative Agency,Peru,"Non-profit, public sector & education, Retail",11.1
228,M&C Saatchi Abel,Cape Town,Creative Agency,South Africa,Retail,10.8
228,Leo Burnett,Moscow,Creative Agency,Russia,Media & Publishing,10.8
230,Ogilvy,Shanghai,Creative Agency,China (Mainland),Clothing & Accessories,10.7
231,TBWA\Singapore,Singapore,Creative Agency,Singapore,Transport & Tourism,10.6
231,Cossette,Toronto,Creative Agency,Canada,"Non-profit, public sector & education",10.6
233,Dentsu East Japan,Tokyo,Creative Agency,Japan,"Automotive, Media & Publishing",10.5
233,CHINA,Madrid,Creative Agency,Spain,Clothing & Accessories,10.5
233,Leo Burnett,Mexico City,Creative Agency,Mexico,"Automotive, Non-profit, public sector & education",10.5
233,Åkestam Holst,Stockholm,Creative Agency,Sweden,"Non-profit, public sector & education",10.5
237,Dentsu,Tokyo,Creative Agency,Japan,"Automotive, Media & Publishing",10.4
237,Grey,Mumbai,Creative Agency,India,"Media & Publishing, Non-profit, public sector & education, Toiletries & Cosmetics",10.4
237,Six Inc,Tokyo,Creative Agency,Japan,"Media & Publishing, Transport & Tourism",10.4
240,Publicis,Madrid,Creative Agency,Spain,Retail,10.3
241,Havas Worldwide,New York,Creative Agency,USA,Financial Services,10.2
241,R/GA,Portland,Digital/Specialist Agency,USA,Clothing & Accessories,10.2
243,New Moment New Ideas Company,Belgrade,Creative Agency,Serbia,"Non-profit, public sector & education",10.1
244,Edelman,Los Angeles,Digital/Specialist Agency,USA,Technology & Electronics,10
244,Mensch,Copenhagen,Creative Agency,Denmark,Transport & Tourism,10
244,Sansir,Copenhagen,Creative Agency,Denmark,Transport & Tourism,10
244,Leo Burnett,Belgrade,Creative Agency,Serbia,Telecoms & Utilities,10
244,Leo Burnett,Bucharest,Creative Agency,Romania,Telecoms & Utilities,10
244,Gitam BBDO,Tel Aviv,Creative Agency,Israel,Technology & Electronics,10
244,Publicis,Bucharest,Creative Agency,Romania,"Non-profit, public sector & education",10
251,BETC,São Paulo,Creative Agency,Brazil,"Clothing & Accessories, Media & Publishing",9.9
251,Dhélet VMLY&R,Buenos Aires,Creative Agency,Argentina,"Financial Services, Transport & Tourism",9.9
253,Ruf Lanz,Zurich,Creative Agency,Switzerland,Financial Services,9.7
253,Kolle Rebbe,Hamburg,Creative Agency,Germany,"Media & Publishing, Transport & Tourism",9.7
255,Altmann + Pacreau,Paris,Creative Agency,France,"Non-profit, public sector & education",9.5
256,PS21,Madrid,Creative Agency,Spain,"Alcoholic Drinks, Retail",9.3
257,FF,Paris,Creative Agency,France,"Leisure & Entertainment, Non-profit, public sector & education",9.2
258,Wunderman Thompson,Singapore,Creative Agency,Singapore,Toiletries & Cosmetics,8.9
258,DDB,Bogotá,Creative Agency,Colombia,"Household & Domestic, Leisure & Entertainment",8.9
258,DDB,Mexico City,Creative Agency,Mexico,"Non-profit, public sector & education, Retail",8.9
258,Party,Tokyo,Creative Agency,Japan,"Media & Publishing, Toiletries & Cosmetics",8.9
258,VMLY&R,Melbourne,Creative Agency,Australia,"Non-profit, public sector & education",8.9
258,Dentsu One,Bangkok,Creative Agency,Thailand,"Non-profit, public sector & education",8.9
258,Meerkats,Perth,Creative Agency,Australia,"Non-profit, public sector & education",8.9
258,Scholz & Friends,Hamburg,Creative Agency,Germany,Household & Domestic,8.9
258,Zulu Alpha Kilo,Toronto,Creative Agency,Canada,Technology & Electronics,8.9
267,Fallon,London,Creative Agency,UK,Automotive,8.8
267,Publicis.Sapient,New York,Digital/Specialist Agency,USA,Toiletries & Cosmetics,8.8
267,Commonwealth//McCann,Dubai,Creative Agency,United Arab Emirates,Automotive,8.8
267,VMLY&R,Auckland,Creative Agency,New Zealand,Financial Services,8.8
271,Leo Burnett,Mumbai,Creative Agency,India,"Automotive, Financial Services, Non-profit, public sector & education",8.7
272,Cheil,São Paulo,Creative Agency,Brazil,Retail,8.4
272,NOSSA,Algés,Creative Agency,Brazil,"Non-profit, public sector & education",8.4
272,Publicis,Quito,Creative Agency,Ecuador,"Media & Publishing, Transport & Tourism",8.4
275,ISD Group,Kiev,Digital/Specialist Agency,Ukraine,Media & Publishing,8.3
275,Nord DDB,Stockholm,Creative Agency,Sweden,"Automotive, Clothing & Accessories, Retail",8.3
275,Taproot Dentsu,Mumbai,Creative Agency,India,Household & Domestic,8.3
275,MRM//McCann,Singapore,Digital/Specialist Agency,Singapore,Media & Publishing,8.3
279,The Odd Number,Johannesburg,Creative Agency,South Africa,"Media & Publishing, Non-profit, public sector & education",8.2
280,Loong,Beijing,Creative Agency,China (Mainland),"Non-profit, public sector & education",8
281,Grey,Kuala Lumpur,Creative Agency,Malaysia,Retail,7.7
282,Uncommon Creative Studio,London,Creative Agency,UK,Media & Publishing,7.6
282,BBDO Guerrero,Makati,Creative Agency,Philippines,Food,7.6
282,Wolf Bkk,Bangkok,Creative Agency,Thailand,"Financial Services, Media & Publishing",7.6
285,Ogilvy,London,Creative Agency,UK,"Alcoholic Drinks, Transport & Tourism",7.5
286,Imagination,Sydney,Digital/Specialist Agency,Australia,Technology & Electronics,7.4
286,The Brand Agency,Perth,Creative Agency,Australia,"Non-profit, public sector & education",7.4
