Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
221,True North,New York,Creative Agency,USA,X,"Non-profit, public sector & education",17.1
221,XPLAIN,Zurich,Creative Agency,Switzerland,X,Soft Drinks,17.1
234,OMD,Helsinki,Creative Agency,Finland,,Automotive,16.6
234,TBWA,Helsinki,Creative Agency,Finland,,Automotive,16.6
234,Ogilvy & Mather,Johannesburg,Creative Agency,South Africa,,"Food, Retail",16.6
237,BBDO,Lahore,Creative Agency,Pakistan,,Food,16.4
237,Republique,Beirut,Creative Agency,Lebanon,X,Retail,16.4
239,DDB & Tribal Worldwide,Amsterdam,Creative Agency,Netherlands,,Telecoms & Utilities,15.8
239,Wavemaker,Amsterdam,Creative Agency,Netherlands,,Telecoms & Utilities,15.8
241,We Believers,New York,Creative Agency,USA,X,"Automotive, Non-profit, public sector & education",15.2
242,Expedia Media Solutions,London,Creative Agency,UK,X,Transport & Tourism,14.9
242,Fuse,London,Creative Agency,UK,,Leisure & Entertainment,14.9
242,Spark Foundry,London,Creative Agency,UK,,Alcoholic Drinks,14.9
245,Ansible,Kuala Lumpur,Creative Agency,Malaysia,X,Retail,14.8
245,Pervorm,Amsterdam,Creative Agency,Netherlands,X,Food,14.8
247,Leo Burnett,Toronto,Creative Agency,Canada,,"Non-profit, public sector & education, Retail",14.5
248,SapientRazorfish,New York,Creative Agency,USA,,Toiletries & Cosmetics,14.3
249,Mobgen,Amsterdam,Creative Agency,Netherlands,X,Business & Industrial,14.2
249,S4M,Paris,Creative Agency,France,X,Retail,14.2
249,Essence,Singapore,Creative Agency,Singapore,,Media & Publishing,14.2
249,Initiative,Bangkok,Creative Agency,Thailand,,Financial Services,14.2
249,Mindshare,Bangkok,Creative Agency,Thailand,,Food,14.2
249,Spark Foundry,Taipei,Creative Agency,Taiwan,,Retail,14.2
249,UM,Bangkok,Creative Agency,Thailand,,Retail,14.2
249,Wavemaker,Singapore,Creative Agency,Singapore,,Financial Services,14.2
257,CHE Proximity,Sydney,Creative Agency,Australia,,Transport & Tourism,14.1
257,Dentsu Webchutney,Gurgaon,Creative Agency,India,,"Non-profit, public sector & education",14.1
257,Media Lab Communications,Sydney,Creative Agency,Australia,,Financial Services,14.1
257,MediaCom,Sydney,Creative Agency,Australia,,Financial Services,14.1
261,FP7/BAH,Bahrain,Creative Agency,Bahrain,,Telecoms & Utilities,13.8
262,Akestam Holst,Stockholm,Creative Agency,Sweden,,Retail,13.4
262,Grabarz & Partner,Hamburg,Creative Agency,Germany,X,Retail,13.4
262,TBWA\Germany,Dusseldorf,Creative Agency,Germany,,Transport & Tourism,13.4
262,TBWA\Helskinki,Helsinki,Creative Agency,Finland,,"Non-profit, public sector & education",13.4
262,Vizeum,Wiesbaden,Creative Agency,Germany,,Retail,13.4
262,Wavemaker,Paris,Creative Agency,France,,Retail,13.4
262,Wavemaker,Stockholm,Creative Agency,Sweden,,Retail,13.4
269,AKQA,Sao Paulo,Creative Agency,Brazil,,Media & Publishing,13.1
269,BBDO,Moscow,Creative Agency,Russia,,Household & Domestic,13.1
269,Cheil,Seoul,Creative Agency,South Korea,,Retail,13.1
269,DDB,Berlin,Creative Agency,Germany,,"Non-profit, public sector & education",13.1
269,FCB,Zurich,Creative Agency,Switzerland,,Leisure & Entertainment,13.1
269,Ogilvy & Mather,Bangkok,Creative Agency,Thailand,,"Non-profit, public sector & education",13.1
269,Uncle Grey,Copenhagen,Creative Agency,Denmark,,Transport & Tourism,13.1
269,VML,Sao Paulo,Creative Agency,Brazil,,Media & Publishing,13.1
269,Whybin\TBWA,Melbourne,Creative Agency,Australia,,Financial Services,13.1
278,MediaCom,Buenos Aires,Creative Agency,Argentina,,Business & Industrial,12.9
278,UM,Mexico City,Creative Agency,Mexico,,Food,12.9
280,Mindshare,Cairo,Creative Agency,Egypt,,Transport & Tourism,12.7
281,Heimat,Berlin,Creative Agency,Germany,,"Non-profit, public sector & education, Retail",12.3
282,Pages BBDO,Santo Domingo,Creative Agency,Dominican Republic,,Retail,12.1
283,McCann,Lima,Creative Agency,Peru,,"Non-profit, public sector & education, Retail",12.0
